team,region,matchType,Baron,Dra,Turts,kills,deaths,assists,CS,gold,damage,tanking,matches_played,matches_won,minutes_played,matches_lose,win_rate,Baron_per_game,Dra_per_game,Turts_per_game,kills_per_game,deaths_per_game,assists_per_game,CS_per_minute,gold_per_minute,damage_per_game,tanking_per_game,KDA
TP,CN,2021 LDL 春季赛,33,121,313,771,842,1748,59562,3227933,3442226.0,5365823.0,60,27,1795.5,33,0.45,0.55,2.02,5.22,12.85,14.03,29.13,33.17,1797.79,57370.43,89430.38,2.992
G2,EU,2018 欧美对抗赛,2,7,31,69,31,146,3511,205162,258809.0,278314.0,3,3,101.6,0,1.0,0.67,2.33,10.33,23.0,10.33,48.67,34.56,2019.31,86269.67,92771.33,6.935
OMG,CN,2023 LPL 夏季赛,25,75,220,424,399,1018,32919,1839479,2170640.5,2845338.3,34,20,995.4,14,0.5882,0.74,2.21,6.47,12.47,11.74,29.94,33.07,1847.98,63842.37,83686.42,3.614
R7,MX,2018 MSI 入围赛,4,11,35,62,53,153,6890,362433,388886.0,515578.0,5,3,200.3,2,0.6,0.8,2.2,7.0,12.4,10.6,30.6,34.4,1809.45,77777.2,103115.6,4.057
IG,CN,2020 LPL 春季赛,29,89,302,713,712,1490,43614,2526854,3210530.0,3879677.0,46,29,1395.5,17,0.6304,0.63,1.93,6.57,15.5,15.48,32.39,31.25,1810.72,69794.13,84340.8,3.094
LGD,CN,2020 LPL 春季赛,22,88,222,500,586,1252,38867,2193775,2503772.0,3790271.0,38,15,1261.5,23,0.3947,0.58,2.32,5.84,13.16,15.42,32.95,30.81,1739.02,65888.74,99743.97,2.99
MDK,EU,2023全球总决赛,2,12,25,63,80,139,5247,291831,336650.0,478617.7,5,1,165.8,4,0.2,0.4,2.4,5.0,12.6,16.0,27.8,31.65,1760.14,67330.0,95723.54,2.525
HKA,HK,2018 LMS S8资格赛,2,6,15,29,49,77,3850,192143,179772.0,262487.0,4,1,114.4,3,0.25,0.5,1.5,3.75,7.25,12.25,19.25,33.65,1679.57,44943.0,65621.75,2.163
EEW,KR,2017 LCK 韩国夏季赛,28,44,170,353,467,811,44546,2366663,2253074.0,3554469.0,39,11,1379.8,28,0.2821,0.72,1.13,4.36,9.05,11.97,20.79,32.28,1715.22,57771.13,91140.23,2.493
BLG,CN,2024 MSI 季中冠军赛,13,45,129,298,308,735,21761,1238676,1656631.2,2232809.6,21,10,671.2,11,0.4762,0.62,2.14,6.14,14.19,14.67,35.0,32.42,1845.46,78887.2,106324.27,3.354
RA,CN,2020德玛西亚杯,8,31,76,199,91,446,9862,574435,728592.0,950894.0,9,7,299.7,2,0.7778,0.89,3.44,8.44,22.11,10.11,49.56,32.91,1916.7,80954.67,105654.89,7.088
JAG,KR,2017 LCK 升降级赛,6,14,51,72,45,173,7177,406941,402785.0,527230.0,6,5,220.9,1,0.8333,1.0,2.33,8.5,12.0,7.5,28.83,32.49,1842.2,67130.83,87871.67,5.444
KDF,KR,2022 LCK春季赛,5,25,67,92,155,213,14942,762677,812971.0,1163256.0,13,2,462.0,11,0.1538,0.38,1.92,5.15,7.08,11.92,16.38,32.34,1650.82,62536.23,89481.23,1.968
RA,CN,2020NEST全国电子竞技大赛,11,32,95,244,122,576,11811,685779,831471.0,1081513.0,12,10,347.2,2,0.8333,0.92,2.67,7.92,20.33,10.17,48.0,34.02,1975.17,69289.25,90126.08,6.721
CC,RU,2021 LCL 夏季赛,23,82,183,456,307,1066,27939,1602277,1779997.0,2460259.0,27,18,878.6,9,0.6667,0.85,3.04,6.78,16.89,11.37,39.48,31.8,1823.67,65925.81,91120.7,4.958
Last Kings,CL,2017 CLS 南拉丁美洲 春季赛,12,39,134,314,327,640,21271,1273402,1469454.0,2068833.0,20,11,701.6,9,0.55,0.6,1.95,6.7,15.7,16.35,32.0,30.32,1815.0,73472.7,103441.65,2.917
SK,EU,2021 LEC 春季赛,12,32,104,271,294,658,23078,1231354,1228437.0,1977020.0,22,9,710.9,13,0.4091,0.55,1.45,4.73,12.32,13.36,29.91,32.46,1732.11,55838.05,89864.55,3.16
EDG,CN,2023 德玛西亚杯,1,7,11,42,75,93,3501,192304,291546.6,416200.4,3,0,112.0,3,0.0,0.33,2.33,3.67,14.0,25.0,31.0,31.26,1717.0,97182.2,138733.47,1.8
VIT,EU,2021 LEC 夏季赛,12,43,113,283,322,621,21789,1179905,1290438.0,1922611.0,22,9,662.4,13,0.4091,0.55,1.95,5.14,12.86,14.64,28.23,32.89,1781.26,58656.27,87391.41,2.807
RYL,CN,2020 LDL 春季赛,6,25,63,180,194,364,10412,616483,694520.0,1045956.0,11,5,353.2,6,0.4545,0.55,2.27,5.73,16.36,17.64,33.09,29.48,1745.42,63138.18,95086.91,2.804
FPX,CN,2018 LPL春季赛,34,91,279,542,596,1325,53718,2848713,2959863.0,4315194.0,45,21,1577.5,24,0.4667,0.76,2.02,6.2,12.04,13.24,29.44,34.05,1805.84,65774.73,95893.2,3.133
JDG,CN,2022 LPL 夏季赛,34,133,386,844,598,2039,52719,3059529,3918642.0,4835019.0,51,36,1609.4,15,0.7059,0.67,2.61,7.57,16.55,11.73,39.98,32.76,1901.04,76836.12,94804.29,4.821
DIG,US,2020 LCS 春季赛,1,3,11,17,20,39,2169,116122,112469.0,191499.0,2,1,72.8,1,0.5,0.5,1.5,5.5,8.5,10.0,19.5,29.79,1595.08,56234.5,95749.5,2.8
WBG,CN,2024 LPL春季赛,45,116,317,605,612,1487,56315,3103967,3906253.4,5417381.2,50,26,1709.5,24,0.52,0.9,2.32,6.34,12.1,12.24,29.74,32.94,1815.72,78125.07,108347.62,3.418
IMT,US,2022 LCS 春季赛,6,21,63,123,160,266,11681,629780,668573.0,987972.0,11,3,360.7,8,0.2727,0.55,1.91,5.73,11.18,14.55,24.18,32.38,1745.99,60779.36,89815.64,2.431
GRV,AU,2021 LCO 夏季赛,20,45,105,300,450,643,20362,1193189,1382544.0,2270641.0,21,7,707.3,14,0.3333,0.95,2.14,5.0,14.29,21.43,30.62,28.79,1686.96,65835.43,108125.76,2.096
WE,CN,2017 MSI 季中冠军赛,14,19,91,175,155,449,13974,826507,929295.0,1313861.0,13,8,454.0,5,0.6154,1.08,1.46,7.0,13.46,11.92,34.54,30.78,1820.5,71484.23,101066.23,4.026
NS,KR,2021 LCK 夏季赛,39,129,332,679,615,1503,58124,3139710,3629478.0,4863019.0,52,29,1762.7,23,0.5577,0.75,2.48,6.38,13.06,11.83,28.9,32.97,1781.19,69797.65,93519.6,3.548
CG,US,2018 LCS 北美春季赛,25,60,159,235,209,612,34950,1749163,1731788.0,2469040.0,27,14,982.5,13,0.5185,0.93,2.22,5.89,8.7,7.74,22.67,35.57,1780.32,64140.3,91445.93,4.053
GRF,KR,2019 LCK 春季赛,28,92,302,550,274,1174,49580,2593866,2297132.0,3120672.0,41,30,1354.2,11,0.7317,0.68,2.24,7.37,13.41,6.68,28.63,36.61,1915.42,56027.61,76113.95,6.292
PGG,AU,2022 LCO 春季赛,2,9,24,53,73,132,4351,243737,309267.0,418250.0,4,1,136.2,3,0.25,0.5,2.25,6.0,13.25,18.25,33.0,31.95,1789.55,77316.75,104562.5,2.534
LGD,CN,2019 LPL 夏季赛,12,84,154,386,545,917,37139,2018500,2018484.0,3234580.0,36,11,1199.4,25,0.3056,0.33,2.33,4.28,10.72,15.14,25.47,30.96,1682.92,56069.0,89849.44,2.391
TL,US,2019 S9全球总决赛,2,10,26,46,63,106,4899,263449,233873.0,379621.0,5,2,152.2,3,0.4,0.4,2.0,5.2,9.2,12.6,21.2,32.19,1730.94,46774.6,75924.2,2.413
CJE,KR,2018 LCK 春季升降级赛,3,5,24,45,70,115,8168,427103,406273.0,720433.0,7,2,258.0,5,0.2857,0.43,0.71,3.43,6.43,10.0,16.43,31.66,1655.44,58039.0,102919.0,2.286
HLE,KR,2019 LCK 春季赛,29,85,224,387,434,970,45464,2391538,2113338.0,3316166.0,41,20,1354.3,21,0.4878,0.71,2.07,5.46,9.44,10.59,23.66,33.57,1765.88,51544.83,80882.1,3.127
RJ,JP,2021 LJL 夏季赛,15,53,146,297,291,734,24401,1341967,1571519.0,2132374.0,23,14,775.5,9,0.6087,0.65,2.3,6.35,12.91,12.65,31.91,31.46,1730.45,68326.91,92711.91,3.543
DIG,US,2021 LCS 春季赛,13,47,119,274,268,697,20596,1142047,1229603.0,1811607.0,19,11,637.2,8,0.5789,0.68,2.47,6.26,14.42,14.11,36.68,32.32,1792.29,64715.95,95347.74,3.623
AXZ,JP,2021 LJL 夏季赛,17,62,154,375,324,898,25385,1439101,1787358.0,2337647.0,24,15,796.1,9,0.625,0.71,2.58,6.42,15.63,13.5,37.42,31.89,1807.69,74473.25,97401.96,3.929
MAX,CN,2021季中发展挑战杯,3,15,34,96,74,224,6154,340924,395641.3,549490.9,6,2,185.3,4,0.3333,0.5,2.5,5.67,16.0,12.33,37.33,33.21,1839.85,65940.22,91581.82,4.324
HKA,HK,2021 PCS 夏季赛,13,33,104,299,360,704,21806,1222329,1325219.0,1937578.0,24,9,711.6,15,0.375,0.54,1.38,4.33,12.46,15.0,29.33,30.64,1717.72,55217.46,80732.42,2.786
AUR,TR,2022 TCL 冬季赛,4,7,20,42,18,117,2311,143075,152805.0,234314.0,2,2,73.9,0,1.0,2.0,3.5,10.0,21.0,9.0,58.5,31.27,1936.06,76402.5,117157.0,8.833
FPX,CN,2021 LPL 春季赛,48,116,382,816,697,1875,53993,3009525,3315265.0,4728775.0,54,36,1577.9,18,0.6667,0.89,2.15,7.07,15.11,12.91,34.72,34.22,1907.3,61393.8,87569.91,3.861
FW,TW,2017 LMS 港澳台春季联赛,36,80,309,506,202,1076,36850,2223615,2390621.0,2724029.0,32,31,1153.6,1,0.9688,1.13,2.5,9.66,15.81,6.31,33.63,31.94,1927.54,74706.91,85125.91,7.832
GEN,KR,2017LCK S7资格赛,11,14,67,78,71,202,10907,618464,677500.0,1007614.0,8,6,328.5,2,0.75,1.38,1.75,8.38,9.75,8.88,25.25,33.2,1882.69,84687.5,125951.75,3.944
IM,CN,德玛西亚杯长沙站,15,34,120,188,161,470,19881,1030145,1059246.0,1489042.0,15,10,557.7,5,0.6667,1.0,2.27,8.0,12.53,10.73,31.33,35.65,1847.13,70616.4,99269.47,4.087
WBG,CN,2020 LPL 春季赛,22,89,238,563,594,1451,40840,2307024,2768686.0,3887960.0,40,19,1325.4,21,0.475,0.55,2.23,5.95,14.08,14.85,36.28,30.81,1740.62,69217.15,97199.0,3.391
HKA,HK,2019 S9全球总决赛 入围赛,8,19,62,77,74,179,9165,505695,430651.0,574920.0,8,6,272.0,2,0.75,1.0,2.38,7.75,9.63,9.25,22.38,33.69,1859.17,53831.38,71865.0,3.459
C9,US,2019 LCS 春季赛,20,55,173,297,224,685,25000,1406132,1605994.0,2188368.0,23,16,772.7,7,0.6957,0.87,2.39,7.52,12.91,9.74,29.78,32.35,1819.76,69825.83,95146.43,4.384
LNG,CN,2021NEST全国电子竞技大赛,1,3,9,15,4,44,1042,0,58245.0,0.0,1,1,29.6,0,1.0,1.0,3.0,9.0,15.0,4.0,44.0,35.2,0.0,58245.0,0.0,14.75
VTG,CN,2018 LDL春季赛,26,33,184,318,265,740,27148,1505297,1688896.0,2205134.0,25,15,824.4,10,0.6,1.04,1.32,7.36,12.72,10.6,29.6,32.93,1825.93,67555.84,88205.36,3.992
MG,TH,2019 MSI 入围赛,4,12,31,63,59,143,7012,364921,345160.0,489712.0,6,2,207.5,4,0.3333,0.67,2.0,5.17,10.5,9.83,23.83,33.79,1758.66,57526.67,81618.67,3.492
DFM,JP,2023 MSI 入围赛,1,3,11,40,72,110,3849,213172,263758.2,419724.4,4,0,134.6,4,0.0,0.25,0.75,2.75,10.0,18.0,27.5,28.6,1583.74,65939.55,104931.1,2.083
LNG,CN,2021 LPL 春季赛,17,74,195,415,464,993,38498,2014331,1971303.0,3224972.0,38,16,1146.7,22,0.4211,0.45,1.95,5.13,10.92,12.21,26.13,33.57,1756.63,51876.39,84867.68,3.034
CHF,AU,2021 LCO 春季赛,15,54,127,323,287,705,22795,1265142,1409467.0,2106979.0,23,12,725.9,11,0.5217,0.65,2.35,5.52,14.04,12.48,30.65,31.4,1742.86,61281.17,91607.78,3.582
LGD,CN,2019 LPL 春季赛,23,79,231,454,507,1014,40137,2235167,2309890.0,3333567.0,38,16,1261.7,22,0.4211,0.61,2.08,6.08,11.95,13.34,26.68,31.81,1771.55,60786.58,87725.45,2.895
NIP,CN,2023 LPL 春季赛,29,81,206,484,485,1174,38366,2158087,2870208.5,3843685.9,39,15,1237.9,24,0.3846,0.74,2.08,5.28,12.41,12.44,30.1,30.99,1743.35,73595.09,98556.05,3.419
TT,CN,2019NEST全国电子竞技大赛,7,31,85,186,99,396,9895,585028,642936.0,754435.0,10,9,329.4,1,0.9,0.7,3.1,8.5,18.6,9.9,39.6,30.04,1776.04,64293.6,75443.5,5.879
FNC,EU,2022全球总决赛 入围赛,5,11,41,76,47,153,5433,298234,375326.2,421269.4,5,4,155.6,1,0.8,1.0,2.2,8.2,15.2,9.4,30.6,34.92,1916.67,75065.24,84253.88,4.872
BLG,CN,2023 MSI 季中冠军赛,18,56,128,319,296,773,21666,1261410,1652226.7,2081562.7,21,13,710.7,8,0.619,0.86,2.67,6.1,15.19,14.1,36.81,30.49,1774.88,78677.46,99122.03,3.689
HKA,HK,2017 LMS 港澳台夏季赛,27,56,193,324,352,788,36580,2043398,2193169.0,3006332.0,32,16,1157.6,16,0.5,0.84,1.75,6.03,10.13,11.0,24.63,31.6,1765.2,68536.53,93947.88,3.159
AHQ,TW,2019 LMS 夏季赛,22,94,244,442,383,1049,43773,2369909,2378366.0,3315743.0,39,22,1332.0,17,0.5641,0.56,2.41,6.26,11.33,9.82,26.9,32.86,1779.21,60983.74,85019.05,3.893
HKA,HK,2017 LMS S7资格赛,9,20,65,84,40,252,8925,512545,587872.0,664156.0,7,7,264.8,0,1.0,1.29,2.86,9.29,12.0,5.71,36.0,33.7,1935.59,83981.71,94879.43,8.4
WBG,CN,2020 S10全球总决赛,16,52,137,285,243,624,22165,1203179,1381609.0,1944939.0,19,12,647.4,7,0.6316,0.84,2.74,7.21,15.0,12.79,32.84,34.24,1858.48,72716.26,102365.21,3.741
