hero_name,position,matchType,pick_count,ban_count,win_count,matches_played,pick_rate,ban_rate,win_rate
Vladimir,Ban,2017 LCK 韩国夏季赛,0,1,0,230,0.0,0.0043,0.0
Vladimir,MID,2017 LCK 韩国夏季赛,3,0,1,230,0.013,0.0,0.3333
Warwick,JUG,2017 LCK 韩国夏季赛,1,0,0,230,0.0043,0.0,0.0
Xayah,ADC,2017 LCK 韩国夏季赛,79,0,40,230,0.3435,0.0,0.5063
Xayah,Ban,2017 LCK 韩国夏季赛,0,29,0,230,0.0,0.1261,0.0
Yasuo,TOP,2017 LCK 韩国夏季赛,1,0,1,230,0.0043,0.0,1.0
Zac,Ban,2017 LCK 韩国夏季赛,0,212,0,230,0.0,0.9217,0.0
Zac,JUG,2017 LCK 韩国夏季赛,18,0,13,230,0.0783,0.0,0.7222
Zed,Ban,2017 LCK 韩国夏季赛,0,7,0,230,0.0,0.0304,0.0
Zed,MID,2017 LCK 韩国夏季赛,4,0,1,230,0.0174,0.0,0.25
Ziggs,ADC,2017 LCK 韩国夏季赛,1,0,0,230,0.0043,0.0,0.0
Zilean,SUP,2017 LCK 韩国夏季赛,1,0,0,230,0.0043,0.0,0.0
Zyra,Ban,2017 LCK 韩国夏季赛,0,44,0,230,0.0,0.1913,0.0
Zyra,SUP,2017 LCK 韩国夏季赛,39,0,20,230,0.1696,0.0,0.5128
Ahri,Ban,2017 LCK 韩国春季赛,0,19,0,228,0.0,0.0833,0.0
Ahri,MID,2017 LCK 韩国春季赛,27,0,16,228,0.1184,0.0,0.5926
Alistar,SUP,2017 LCK 韩国春季赛,1,0,0,228,0.0044,0.0,0.0
Ashe,ADC,2017 LCK 韩国春季赛,129,0,62,228,0.5658,0.0,0.4806
Ashe,Ban,2017 LCK 韩国春季赛,0,50,0,228,0.0,0.2193,0.0
Aurelionsol,Ban,2017 LCK 韩国春季赛,0,16,0,228,0.0,0.0702,0.0
Aurelionsol,MID,2017 LCK 韩国春季赛,6,0,4,228,0.0263,0.0,0.6667
Azir,MID,2017 LCK 韩国春季赛,4,0,2,228,0.0175,0.0,0.5
Bard,Ban,2017 LCK 韩国春季赛,0,1,0,228,0.0,0.0044,0.0
Bard,SUP,2017 LCK 韩国春季赛,4,0,0,228,0.0175,0.0,0.0
Blitzcrank,SUP,2017 LCK 韩国春季赛,1,0,0,228,0.0044,0.0,0.0
Brand,SUP,2017 LCK 韩国春季赛,4,0,3,228,0.0175,0.0,0.75
Braum,Ban,2017 LCK 韩国春季赛,0,1,0,228,0.0,0.0044,0.0
Braum,SUP,2017 LCK 韩国春季赛,10,0,5,228,0.0439,0.0,0.5
Caitlyn,ADC,2017 LCK 韩国春季赛,31,0,15,228,0.136,0.0,0.4839
Caitlyn,Ban,2017 LCK 韩国春季赛,0,7,0,228,0.0,0.0307,0.0
Camille,Ban,2017 LCK 韩国春季赛,0,206,0,228,0.0,0.9035,0.0
Camille,SUP,2017 LCK 韩国春季赛,1,0,1,228,0.0044,0.0,1.0
Camille,TOP,2017 LCK 韩国春季赛,21,0,13,228,0.0921,0.0,0.619
Cassiopeia,Ban,2017 LCK 韩国春季赛,0,50,0,228,0.0,0.2193,0.0
Cassiopeia,MID,2017 LCK 韩国春季赛,34,0,13,228,0.1491,0.0,0.3824
Corki,Ban,2017 LCK 韩国春季赛,0,14,0,228,0.0,0.0614,0.0
Corki,MID,2017 LCK 韩国春季赛,62,0,34,228,0.2719,0.0,0.5484
Drmundo,Ban,2017 LCK 韩国春季赛,0,1,0,228,0.0,0.0044,0.0
Drmundo,TOP,2017 LCK 韩国春季赛,3,0,0,228,0.0132,0.0,0.0
Ekko,Ban,2017 LCK 韩国春季赛,0,17,0,228,0.0,0.0746,0.0
Ekko,MID,2017 LCK 韩国春季赛,14,0,5,228,0.0614,0.0,0.3571
Ekko,TOP,2017 LCK 韩国春季赛,3,0,0,228,0.0132,0.0,0.0
Elise,Ban,2017 LCK 韩国春季赛,0,47,0,228,0.0,0.2061,0.0
Elise,JUG,2017 LCK 韩国春季赛,78,0,35,228,0.3421,0.0,0.4487
Elise,SUP,2017 LCK 韩国春季赛,1,0,1,228,0.0044,0.0,1.0
Ezreal,ADC,2017 LCK 韩国春季赛,70,0,33,228,0.307,0.0,0.4714
Ezreal,Ban,2017 LCK 韩国春季赛,0,17,0,228,0.0,0.0746,0.0
Fiora,Ban,2017 LCK 韩国春季赛,0,4,0,228,0.0,0.0175,0.0
Fiora,TOP,2017 LCK 韩国春季赛,3,0,2,228,0.0132,0.0,0.6667
Fizz,Ban,2017 LCK 韩国春季赛,0,13,0,228,0.0,0.057,0.0
Fizz,MID,2017 LCK 韩国春季赛,1,0,1,228,0.0044,0.0,1.0
Fizz,TOP,2017 LCK 韩国春季赛,4,0,2,228,0.0175,0.0,0.5
