Team1_name,Team1_region,Team2_name,Team2_region,matchType,matches_played,minutes_played,Team1_player1_name,Team1_player1_position,Team1_player1_kills,Team1_player1_deaths,Team1_player1_assists,Team1_player1_CS,Team1_player1_gold,Team1_player1_damage,Team1_player1_tanking,Team1_player2_name,Team1_player2_position,Team1_player2_kills,Team1_player2_deaths,Team1_player2_assists,Team1_player2_CS,Team1_player2_gold,Team1_player2_damage,Team1_player2_tanking,Team1_player3_name,Team1_player3_position,Team1_player3_kills,Team1_player3_deaths,Team1_player3_assists,Team1_player3_CS,Team1_player3_gold,Team1_player3_damage,Team1_player3_tanking,Team1_player4_name,Team1_player4_position,Team1_player4_kills,Team1_player4_deaths,Team1_player4_assists,Team1_player4_CS,Team1_player4_gold,Team1_player4_damage,Team1_player4_tanking,Team1_player5_name,Team1_player5_position,Team1_player5_kills,Team1_player5_deaths,Team1_player5_assists,Team1_player5_CS,Team1_player5_gold,Team1_player5_damage,Team1_player5_tanking,Team2_player1_name,Team2_player1_position,Team2_player1_kills,Team2_player1_deaths,Team2_player1_assists,Team2_player1_CS,Team2_player1_gold,Team2_player1_damage,Team2_player1_tanking,Team2_player2_name,Team2_player2_position,Team2_player2_kills,Team2_player2_deaths,Team2_player2_assists,Team2_player2_CS,Team2_player2_gold,Team2_player2_damage,Team2_player2_tanking,Team2_player3_name,Team2_player3_position,Team2_player3_kills,Team2_player3_deaths,Team2_player3_assists,Team2_player3_CS,Team2_player3_gold,Team2_player3_damage,Team2_player3_tanking,Team2_player4_name,Team2_player4_position,Team2_player4_kills,Team2_player4_deaths,Team2_player4_assists,Team2_player4_CS,Team2_player4_gold,Team2_player4_damage,Team2_player4_tanking,Team2_player5_name,Team2_player5_position,Team2_player5_kills,Team2_player5_deaths,Team2_player5_assists,Team2_player5_CS,Team2_player5_gold,Team2_player5_damage,Team2_player5_tanking
BLG,CN,RA,CN,2020 LPL 春季赛,3,109.3,Kingen,TOP,13,8,10,965,47457,45038.0,58082.0,Meteor,JUG,7,3,28,704,39210,24947.0,67100.0,Fofo,MID,12,6,21,792,40427,45436.0,34995.0,Jinjiao,ADC,12,3,18,1060,49347,51478.0,26736.0,Xinmo,SUP,1,3,31,101,25120,7426.0,33142.0,Cube,TOP,3,10,10,858,38896,29572.0,65165.0,Chieftain,JUG,6,9,8,622,32674,19492.0,67269.0,Forge,MID,7,11,10,913,41201,48763.0,50212.0,Iboy,ADC,6,6,9,1141,46180,29907.0,39802.0,Maestro,SUP,1,9,17,96,22234,5494.0,30458.0
LGD,CN,NIP,CN,2020 LPL 春季赛,2,62.2,Lies,TOP,4,3,18,508,25882,19312.0,41295.0,Peanut,JUG,11,1,21,392,24717,24107.0,53963.0,Yuuki,MID,10,3,16,626,28946,26556.0,27545.0,Kramer,ADC,13,6,24,167,24516,41780.0,26760.0,Killua,SUP,6,3,31,232,20900,12783.0,35399.0,Aliez,TOP,3,12,6,408,19840,23851.0,49717.0,Xiaohan,JUG,2,10,10,273,17523,9168.0,46471.0,Mole,MID,5,6,7,530,22828,36601.0,27061.0,Y4,ADC,5,5,5,479,22702,43329.0,18855.0,Max,SUP,1,11,7,77,13058,7595.0,24787.0
LNG,CN,OMG,CN,2020 LPL 春季赛,3,102.0,Flandre,TOP,7,11,21,669,34692,34601.0,70939.0,Xx,JUG,9,12,17,542,32550,29048.0,92531.0,Maple,MID,9,5,20,778,38363,46306.0,39779.0,Asura,ADC,16,9,16,640,39220,58017.0,49213.0,Duan,SUP,1,11,23,247,24670,13141.0,51756.0,Curse,TOP,7,9,21,739,38200,40822.0,75639.0,H4Cker,JUG,13,11,20,531,34786,25554.0,76159.0,Icon,MID,12,7,20,777,38894,63073.0,47424.0,Smlz,ADC,13,5,23,937,44713,70306.0,30678.0,Cold,SUP,3,10,28,110,24523,16501.0,38936.0
RA,CN,RNG,CN,2020 LPL 春季赛,2,63.5,Cube,TOP,5,3,14,517,25742,19784.0,46302.0,Aix,JUG,5,4,18,341,21545,14547.0,58336.0,Forge,MID,12,2,8,539,27586,23925.0,40068.0,Iboy,ADC,6,2,19,629,27515,27672.0,13744.0,Maestro,SUP,2,2,14,80,14902,5975.0,16235.0,Langx,TOP,2,6,7,495,22773,25155.0,40205.0,Xlb,JUG,4,5,5,263,17682,15163.0,31015.0,Xiaohu,MID,3,4,5,562,23786,38150.0,19675.0,Betty,ADC,3,6,6,578,24702,22598.0,15788.0,Ming,SUP,1,9,5,75,13357,6425.0,23126.0
IG,CN,LNG,CN,2020 LPL 春季赛,3,83.7,Theshy,TOP,11,9,15,777,39895,52224.0,35194.0,Leyan,JUG,8,11,20,443,28196,17847.0,78505.0,Rookie,MID,14,11,21,698,34689,66806.0,32757.0,Puff,ADC,7,4,16,821,35632,35899.0,30450.0,Southwind,SUP,1,5,28,104,20572,8911.0,29500.0,Chenlun17,TOP,2,9,13,431,23150,10482.0,56412.0,Xx,JUG,9,13,19,370,27042,22490.0,64989.0,Maple,MID,18,5,16,599,34039,51062.0,41819.0,Light,ADC,10,4,11,845,36260,40248.0,29042.0,Duan,SUP,0,10,16,99,18459,9431.0,42524.0
AL,CN,WE,CN,2020 LPL 春季赛,3,94.4,Crazy,TOP,10,9,10,752,34812,46126.0,55575.0,Weiyan,JUG,1,13,22,448,26463,18292.0,80229.0,Ruby,MID,10,10,11,731,34781,52574.0,52000.0,Zwuji,ADC,7,7,17,859,38129,41390.0,38166.0,Ley,SUP,3,9,24,106,21208,14134.0,42739.0,Morgan,TOP,7,6,21,650,35817,34133.0,62397.0,Beishang,JUG,12,3,23,594,36692,37088.0,66452.0,Teacherma,MID,14,3,22,718,36950,42431.0,36539.0,Jiumeng,ADC,13,7,25,587,37801,63539.0,32304.0,Missing,SUP,2,12,26,238,26424,14157.0,51032.0
IG,CN,WBG,CN,2020 LPL 春季赛,2,56.8,Theshy,TOP,7,8,13,454,23452,43480.0,43133.0,Leyan,JUG,11,10,14,335,22254,25322.0,53843.0,Rookie,MID,9,7,17,463,23197,42748.0,21571.0,Puff,ADC,12,5,15,543,26769,41945.0,20607.0,Southwind,SUP,2,4,25,64,15308,9556.0,23552.0,Biubiu,TOP,6,8,5,434,20500,18510.0,58636.0,Sofm,JUG,8,9,13,336,19742,23663.0,58273.0,Angel,MID,12,7,10,365,21635,28291.0,36297.0,Huanfeng,ADC,6,6,11,540,24141,26055.0,32153.0,Swordart,SUP,2,11,14,64,13086,9057.0,28443.0
LGD,CN,WE,CN,2020 LPL 春季赛,3,106.1,Cult,TOP,14,16,18,801,42461,54799.0,98952.0,Peanut,JUG,6,16,33,611,35504,33854.0,116284.0,Yuuki,MID,9,10,31,790,41049,67060.0,76312.0,Kramer,ADC,21,8,15,1032,50190,93244.0,37730.0,Killua,SUP,0,9,34,113,23292,15751.0,56164.0,Morgan,TOP,17,15,24,846,43575,69695.0,96836.0,Beishang,JUG,5,8,48,503,34148,28299.0,94239.0,Teacherma,MID,12,9,29,721,38425,72558.0,54758.0,Jiumeng,ADC,23,5,26,935,48862,86880.0,41682.0,Missing,SUP,2,13,43,108,25267,22159.0,53960.0
AL,CN,LGD,CN,2020 LPL 春季赛,3,84.9,Crazy,TOP,8,7,11,659,30899,29180.0,59275.0,Haro,JUG,13,4,23,464,31411,25618.0,80900.0,Wuming,MID,18,7,29,594,33694,57092.0,43606.0,Zwuji,ADC,11,5,27,764,36321,60543.0,24737.0,Ley,SUP,3,9,36,82,21219,15008.0,35591.0,Lies,TOP,1,11,21,605,27324,34032.0,63405.0,Peanut,JUG,15,9,13,468,31766,35720.0,68337.0,Yuuki,MID,9,10,16,605,31223,43865.0,44942.0,Kramer,ADC,6,10,18,584,32167,32359.0,38119.0,Killua,SUP,1,13,18,197,19762,12134.0,42406.0
OMG,CN,RA,CN,2020 LPL 春季赛,3,103.5,Curse,TOP,9,7,10,820,39525,44923.0,59967.0,H4Cker,JUG,5,6,20,502,32510,20980.0,83323.0,Icon,MID,10,10,18,902,42029,67733.0,47550.0,Smlz,ADC,12,6,12,962,45654,52504.0,33765.0,Cold,SUP,0,5,25,106,24030,15214.0,38302.0,Cube,TOP,9,5,16,797,38783,38611.0,69840.0,Aix,JUG,6,6,17,543,31969,22586.0,82239.0,Forge,MID,7,8,14,874,38546,37688.0,67288.0,Iboy,ADC,8,9,17,777,40485,61572.0,33669.0,Hang,SUP,4,8,18,259,26117,17211.0,49468.0
